query_id,precision,recall,f1,ap,ndcg,hit,rr,relevant_count,retrieved_count,hit_count,has_relevance
1,0.28,0.25,0.2641509433962264,0.18710822510822514,0.3427853630679123,1.0,1.0,28.0,25.0,7.0,1.0
2,0.2,0.20833333333333334,0.20408163265306126,0.17395833333333333,0.5317924949736259,1.0,1.0,24.0,25.0,5.0,1.0
3,0.32,1.0,0.48484848484848486,0.6957341269841271,0.800126938363827,1.0,0.5,8.0,25.0,8.0,1.0
4,0.08,1.0,0.14814814814814814,0.8333333333333333,0.9197207891481876,1.0,1.0,2.0,25.0,2.0,1.0
5,0.12,0.75,0.20689655172413793,0.0825657894736842,0.31012136333558393,1.0,0.1,4.0,25.0,3.0,1.0
6,0.04,0.25,0.06896551724137932,0.0625,0.1105733585958571,1.0,0.25,4.0,25.0,1.0,1.0
7,0.08,0.4,0.13333333333333333,0.09714285714285714,0.17897756564704315,1.0,0.2,5.0,25.0,2.0,1.0
8,0.12,0.2727272727272727,0.16666666666666666,0.045316804407713504,0.2048237558106265,1.0,0.16666666666666666,11.0,25.0,3.0,1.0
9,0.12,1.0,0.21428571428571425,0.8666666666666667,0.9469024295259745,1.0,1.0,3.0,25.0,3.0,1.0
10,0.12,0.375,0.18181818181818182,0.11875,0.26387150218400424,1.0,0.5,8.0,25.0,3.0,1.0
11,0.16,0.5714285714285714,0.25,0.15952380952380954,0.2722362457227804,1.0,0.5,7.0,25.0,4.0,1.0
12,0.12,0.6,0.19999999999999998,0.16862745098039217,0.3474942675166682,1.0,0.5,5.0,25.0,3.0,1.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,1.0
14,0.08,1.0,0.14814814814814814,0.5769230769230769,0.9764390075100864,1.0,1.0,2.0,25.0,2.0,1.0
15,0.08,1.0,0.14814814814814814,0.625,0.45770849517239265,1.0,1.0,2.0,25.0,2.0,1.0
16,0.04,0.3333333333333333,0.07142857142857142,0.16666666666666666,0.1821252421493118,1.0,0.5,3.0,25.0,1.0,1.0
17,0.04,0.5,0.07407407407407407,0.25,0.4966392596877323,1.0,0.5,2.0,25.0,1.0,1.0
18,0.04,0.3333333333333333,0.07142857142857142,0.08333333333333333,0.2021073465005476,1.0,0.25,3.0,25.0,1.0,1.0
19,0.04,0.1111111111111111,0.058823529411764705,0.011111111111111112,0.10089918781310692,1.0,0.1,9.0,25.0,1.0,1.0
20,0.32,0.8888888888888888,0.47058823529411764,0.48670730772180043,0.6906925521192835,1.0,0.5,9.0,25.0,8.0,1.0
21,0.12,0.75,0.20689655172413793,0.22294372294372294,0.4868502995766748,1.0,0.3333333333333333,4.0,25.0,3.0,1.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,1.0
23,0.28,0.21875,0.2456140350877193,0.16807867494824016,0.29673442811799233,1.0,0.5,32.0,25.0,7.0,1.0
24,0.08,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.5753291852022475,1.0,0.5,3.0,25.0,2.0,1.0
25,0.28,0.7777777777777778,0.4117647058823529,0.4704585537918871,0.618106417000282,1.0,1.0,9.0,25.0,7.0,1.0
