query_id,query_length,unique_query_terms,query_vocab_coverage_rate,mean_query_idf,max_query_idf,mean_overlap_on_relevant_docs,n_relevant_docs
1,15,15,0.6666666666666666,4.494184948859774,6.453182077108952,,0
2,14,14,0.5714285714285714,3.8119341189748144,5.41172820228079,,0
3,13,13,0.6153846153846154,4.396804555065529,6.299031397281694,,0
4,28,26,0.6923076923076923,4.49436579296697,7.1463292576688975,,0
5,10,10,0.7,3.8997285307306475,5.153899092978691,,0
6,14,14,0.5714285714285714,3.9088732965031974,5.847046273538637,,0
7,32,22,0.6363636363636364,3.991410325163959,6.635503633902907,,0
8,18,17,0.6470588235294118,4.002820742383474,6.635503633902907,,0
9,8,8,0.875,3.9106205453261085,6.0477169690007875,,0
10,15,15,0.6,4.200055564442378,6.635503633902907,,0
11,19,18,0.6111111111111112,3.9255823291026686,5.536891345234797,,0
12,13,13,0.6153846153846154,3.9960705312960076,6.453182077108952,,0
13,10,9,0.5555555555555556,5.455954038536266,7.551794365777062,,0
14,5,5,0.6,4.329620246318377,6.0477169690007875,,0
15,5,5,0.8,5.1429658791589645,7.551794365777062,,0
16,17,17,0.47058823529411764,3.8688576735113376,5.942356453342962,,0
17,20,16,0.4375,3.342865023526648,4.237608361104536,,0
18,13,12,0.6666666666666666,3.1638302229241675,3.8882327196474153,,0
19,22,19,0.6842105263157895,4.662038882396694,7.1463292576688975,,0
20,22,21,0.7142857142857143,4.265746247675417,7.551794365777062,,0
21,16,15,0.6666666666666666,4.30434075037537,6.453182077108952,,0
22,24,20,0.5,3.995861021076473,5.760034896549007,,0
23,10,10,0.5,4.430123290679317,6.0477169690007875,,0
24,14,13,0.5384615384615384,4.202442213380936,6.299031397281694,,0
25,19,17,0.7647058823529411,4.2933291229764645,6.453182077108952,,0
26,22,20,0.6,3.116396373062427,4.438279056566687,,0
27,16,14,0.5714285714285714,3.737748672773476,5.41172820228079,,0
28,10,10,0.6,3.5055390945362412,4.748433984870527,,0
29,19,18,0.6666666666666666,3.545802720999273,5.354569788440842,,0
30,8,7,0.8571428571428571,4.232469456119188,6.453182077108952,,0
31,23,22,0.6818181818181818,3.8889256889307853,7.551794365777062,,0
32,11,11,0.5454545454545454,3.8165047988453433,5.536891345234797,,0
33,20,18,0.6111111111111112,3.7652088418769405,5.67999218887547,,0
34,11,11,0.6363636363636364,3.758103274575691,5.536891345234797,,0
35,12,12,0.6666666666666666,5.097424432200894,6.299031397281694,,0
36,14,14,0.6428571428571429,4.108418408767835,6.165500004657171,,0
37,9,9,0.6666666666666666,3.451768607387628,4.877645716350533,,0
38,12,12,0.6666666666666666,4.070930238070865,4.843744164674852,,0
39,9,9,0.6666666666666666,4.134085492383511,7.551794365777062,,0
40,9,9,0.6666666666666666,4.5768758673973275,7.551794365777062,,0
41,16,15,0.6,3.908493305374611,6.0477169690007875,,0
42,25,21,0.5238095238095238,3.8690644489891137,5.67999218887547,,0
43,17,17,0.6470588235294118,3.9173998742192597,5.760034896549007,,0
44,13,10,0.5,4.592257319054278,5.942356453342962,,0
45,13,13,0.6153846153846154,3.5272279501413983,6.165500004657171,,0
46,14,14,0.5714285714285714,3.0005586537912867,4.4163001498479115,,0
47,14,14,0.6428571428571429,3.7746605235108155,6.165500004657171,,0
48,7,7,0.5714285714285714,5.003577320371189,6.453182077108952,,0
49,21,19,0.631578947368421,4.123935999728299,6.299031397281694,,0
50,22,16,0.6875,3.716981634036293,6.635503633902907,,0
51,22,21,0.6666666666666666,3.817667312748852,6.299031397281694,,0
52,19,16,0.625,4.237091033707327,6.635503633902907,,0
53,26,21,0.6190476190476191,3.9775527645638955,6.0477169690007875,,0
54,22,16,0.5625,3.9790250594597336,6.453182077108952,,0
55,19,16,0.625,3.742650569693827,4.986845008315525,,0
56,16,15,0.6,4.290068605191078,5.847046273538637,,0
57,14,13,0.5384615384615384,3.985228883057522,6.0477169690007875,,0
58,24,22,0.6363636363636364,3.9685563084191235,6.635503633902907,,0
59,11,11,0.6363636363636364,3.2306258709486144,4.040248926946041,,0
60,23,21,0.5238095238095238,3.4336791509232487,5.472352824097226,,0
61,15,14,0.6428571428571429,3.965639157526286,5.300502567170566,,0
62,31,23,0.6956521739130435,3.3884198764576032,5.472352824097226,,0
